"Date","follower","index","timestamp","title","uid","url","url_uid"
"sam. 20 nov. 2021 22:00 GMT","9.3k abonnés",1,1636719590450,"Vegan For Beginners","Z2Y4LSZ1NcuzD3DfL0Jo","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"sam. 20 nov. 2021 22:00 GMT","9.3k abonnés",2,1636719590450,"Vegan For Beginners","9sWRSeNg2xJ7Tfamz7Lv","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"mar. 16 nov. 2021 18:30 GMT","29.7k abonnés",3,1636719590450,"The Art of Erasure : Drawing and Destruction (PART 1)","kGLwY824Qe2r0NjjBt6G","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"mar. 16 nov. 2021 18:30 GMT","29.7k abonnés",4,1636719590450,"The Art of Erasure : Drawing and Destruction (PART 1)","VgqbirDfAA2wYcDgz0Iy","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"sam. 20 nov. 2021 16:00 GMT+1événement supplémentaire","10.8k abonnés",5,1636719590450,"Knee Pain Corrective Exercise Workshop - For Women Only","fxrdOAAurvcKLVVoD3IJ","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"sam. 20 nov. 2021 16:00 GMT+1événement supplémentaire","10.8k abonnés",6,1636719590450,"Knee Pain Corrective Exercise Workshop - For Women Only","Ml9QrOjzwCc35MBun0yz","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"lun. 15 nov. 2021 17:00 GMT","11.4k abonnés",7,1636719590450,"Health and Happiness Workshop","6B7f2M68Pi0Z0GZKyZcI","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"lun. 15 nov. 2021 17:00 GMT","11.4k abonnés",8,1636719590450,"Health and Happiness Workshop","IxtcyGJyeqXybuahHcSK","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"mer. 24 nov. 2021 18:00 GMT","2.9k abonnés",9,1636719590450,"Le crédit, un levier pour concrétiser vos projets au Canada","DAITXHoLpS8heHoT6pAp","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"mer. 24 nov. 2021 18:00 GMT","2.9k abonnés",10,1636719590450,"Le crédit, un levier pour concrétiser vos projets au Canada","rwCB8L76HPK8zbXzItGn","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"ven. 12 nov. 2021 18:00 GMT","7.5k abonnés",11,1636719590450,"Tech Career Fair: Exclusive Tech Hiring Event-New Tickets Available","kGJKmZhTZJNOnevrdX0H","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"ven. 12 nov. 2021 18:00 GMT","7.5k abonnés",12,1636719590450,"Tech Career Fair: Exclusive Tech Hiring Event-New Tickets Available","fLsMXwCkxtHaGrOe1OzR","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"ven. 3 déc. 2021 00:00 GMT","8.8k abonnés",13,1636719590450,"Baking from Scratch 101","fr9rZV0cvgV2Qs3QUf7f","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"ven. 3 déc. 2021 00:00 GMT","8.8k abonnés",14,1636719590450,"Baking from Scratch 101","vzafeBXt9pPgyjeaNLga","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"dim. 14 nov. 2021 02:00 GMT+3événements supplémentaires","11.5k abonnés",15,1636719590450,"Gentle Yoga for Terrible Times","zBVyCgRBJTFDMZBUnNxr","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"dim. 14 nov. 2021 02:00 GMT+3événements supplémentaires","11.5k abonnés",16,1636719590450,"Gentle Yoga for Terrible Times","JmI4IZXtboQ1w4vIUSpA","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
"lun. 15 nov. 2021 18:00 GMT","1k abonnés",17,1636719590450,"Webinaire : Violence et Médiation. La justice restaurative : quels enjeux ?","ATsSJ2UEJuviqhdIozQL","https://www.eventbrite.fr/d/online/all-events/?page=1","1"
